RN DEPTH	Returnable	Shlw----%	Deep----%	V Deep--%	UFE-----%	net-----%	deep----%	wide----%	wide&deep
Total	90	30 (33%)	60 (67%)	31 (34%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
vs 1st Svs	48	19 (40%)	29 (60%)	14 (29%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
vs 2nd Svs	42	11 (26%)	31 (74%)	17 (40%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Forehand side	44	13 (30%)	31 (70%)	17 (39%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Backhand side	44	17 (39%)	27 (61%)	14 (32%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Flat/Topspin	81	29 (36%)	52 (64%)	28 (35%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Slice/Chip	7	1 (14%)	6 (86%)	3 (43%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Deuce Court	40	19 (48%)	21 (53%)	11 (28%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Ad Court	50	11 (22%)	39 (78%)	20 (40%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Wide serves	38	15 (39%)	23 (61%)	12 (32%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Body serves	5	3 (60%)	2 (40%)	1 (20%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
T serves	47	12 (26%)	35 (74%)	18 (38%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Deuce-Wide	23	10 (43%)	13 (57%)	6 (26%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Ad-Wide	15	5 (33%)	10 (67%)	6 (40%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Deuce-Body	4	3 (75%)	1 (25%)	1 (25%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Ad-Body	1	0 (0%)	1 (100%)	0 (0%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Deuce-T	13	6 (46%)	7 (54%)	4 (31%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Ad-T	34	6 (18%)	28 (82%)	14 (41%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
