RN BREAKDOWN	1st: Pts	Won---%	Aces---%	Unr---%	FcdE---%	<=3W---%	2nd: Pts	Won---%	Aces---%	Unr---%	FcdE---%	<=3W---%
Deuce Court	51	30 (59%)	0 (0%)	1 (2%)	11 (22%)	13 (25%)	26	14 (54%)	2 (8%)	0 (0%)	1 (4%)	3 (12%)
Ad Court	59	39 (66%)	2 (3%)	1 (2%)	13 (22%)	23 (39%)	15	9 (60%)	0 (0%)	0 (0%)	3 (20%)	3 (20%)
Wide serves	39	28 (72%)	0 (0%)	0 (0%)	12 (31%)	16 (41%)	17	13 (76%)	2 (12%)	0 (0%)	3 (18%)	5 (29%)
Body serves	38	19 (50%)	0 (0%)	0 (0%)	9 (24%)	11 (29%)	9	4 (44%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)
T serves	33	22 (67%)	2 (6%)	2 (6%)	3 (9%)	9 (27%)	15	6 (40%)	0 (0%)	0 (0%)	1 (7%)	1 (7%)
Deuce-Wide	7	4 (57%)	0 (0%)	0 (0%)	3 (43%)	3 (43%)	7	5 (71%)	2 (29%)	0 (0%)	0 (0%)	2 (29%)
Ad-Wide	32	24 (75%)	0 (0%)	0 (0%)	9 (28%)	13 (41%)	10	8 (80%)	0 (0%)	0 (0%)	3 (30%)	3 (30%)
Deuce-Body	20	10 (50%)	0 (0%)	0 (0%)	5 (25%)	5 (25%)	6	3 (50%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)
Ad-Body	18	9 (50%)	0 (0%)	0 (0%)	4 (22%)	6 (33%)	3	1 (33%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)
Deuce-T	24	16 (67%)	0 (0%)	1 (4%)	3 (13%)	5 (21%)	13	6 (46%)	0 (0%)	0 (0%)	1 (8%)	1 (8%)
Ad-T	9	6 (67%)	2 (22%)	1 (11%)	0 (0%)	4 (44%)	2	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)
