RALLY OUTCOMES	Pts	RF: W------%	Wnrs----%	FcdE----%	UFE-----%	RN: W------%	Wnrs----%	FcdE----%	UFE-----%
Total	127	71 (56%)	29 (23%)	20 (16%)	19 (15%)	56 (44%)	14 (11%)	22 (17%)	21 (17%)
All: 1-3 Shots	76	39 (51%)	13 (17%)	14 (18%)	9 (12%)	37 (49%)	9 (12%)	18 (24%)	11 (14%)
RF Sv: 1-3 Shots	36	29 (81%)	11 (31%)	14 (39%)	4 (11%)	7 (19%)	1 (3%)	1 (3%)	4 (11%)
RN Sv: 1-3 Shots	40	10 (25%)	2 (5%)	0 (0%)	5 (13%)	30 (75%)	8 (20%)	17 (43%)	7 (18%)
All: 4-6 Shots	30	20 (67%)	7 (23%)	5 (17%)	8 (27%)	10 (33%)	0 (0%)	2 (7%)	8 (27%)
RF Sv: 4-6 Shots	14	8 (57%)	3 (21%)	1 (7%)	5 (36%)	6 (43%)	0 (0%)	1 (7%)	4 (29%)
RN Sv: 4-6 Shots	16	12 (75%)	4 (25%)	4 (25%)	3 (19%)	4 (25%)	0 (0%)	1 (6%)	4 (25%)
All: 7-9 Shots	16	8 (50%)	6 (38%)	1 (6%)	2 (13%)	8 (50%)	4 (25%)	2 (13%)	1 (6%)
RF Sv: 7-9 Shots	9	6 (67%)	5 (56%)	0 (0%)	1 (11%)	3 (33%)	2 (22%)	0 (0%)	1 (11%)
RN Sv: 7-9 Shots	7	2 (29%)	1 (14%)	1 (14%)	1 (14%)	5 (71%)	2 (29%)	2 (29%)	0 (0%)
All: 10+ Shots	5	4 (80%)	3 (60%)	0 (0%)	0 (0%)	1 (20%)	1 (20%)	0 (0%)	1 (20%)
RF Sv: 10+ Shots	3	2 (67%)	2 (67%)	0 (0%)	0 (0%)	1 (33%)	1 (33%)	0 (0%)	0 (0%)
RN Sv: 10+ Shots	2	2 (100%)	1 (50%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (50%)
