RF DEPTH	Returnable	Shlw----%	Deep----%	V Deep--%	UFE-----%	net-----%	deep----%	wide----%	wide&deep
Total	114	17 (15%)	97 (85%)	54 (47%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
vs 1st Svs	82	14 (17%)	68 (83%)	39 (48%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
vs 2nd Svs	32	3 (9%)	29 (91%)	15 (47%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Forehand side	40	4 (10%)	36 (90%)	23 (57%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Backhand side	74	13 (18%)	61 (82%)	31 (42%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Flat/Topspin	106	15 (14%)	91 (86%)	51 (48%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Slice/Chip	8	2 (25%)	6 (75%)	3 (38%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Deuce Court	60	12 (20%)	48 (80%)	24 (40%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Ad Court	54	5 (9%)	49 (91%)	30 (56%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Wide serves	39	4 (10%)	35 (90%)	22 (56%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Body serves	38	7 (18%)	31 (82%)	16 (42%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
T serves	37	6 (16%)	31 (84%)	16 (43%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Deuce-Wide	9	1 (11%)	8 (89%)	5 (56%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Ad-Wide	30	3 (10%)	27 (90%)	17 (57%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Deuce-Body	21	5 (24%)	16 (76%)	9 (43%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Ad-Body	17	2 (12%)	15 (88%)	7 (41%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Deuce-T	30	6 (20%)	24 (80%)	10 (33%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
Ad-T	7	0 (0%)	7 (100%)	6 (86%)	0 (0%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)
