RF BREAKDOWN	Total: Pts	Won---%	Aces---%	Unret---%	FcdE---%	<=3W---%	1stIn	DF
Deuce Court	72	48 (67%)	10 (14%)	0 (0%)	19 (26%)	34 (47%)	48 (67%)	3 (4%)
Ad Court	66	43 (65%)	10 (15%)	0 (0%)	6 (9%)	24 (36%)	37 (56%)	0 (0%)
Wide serves	66	45 (68%)	13 (20%)	0 (0%)	13 (20%)	30 (45%)	44 (67%)	2 (3%)
Body serves	6	3 (50%)	0 (0%)	0 (0%)	1 (17%)	2 (33%)	0 (0%)	0 (0%)
T serves	66	43 (65%)	7 (11%)	0 (0%)	11 (17%)	26 (39%)	41 (62%)	1 (2%)
Deuce-Wide	43	29 (67%)	6 (14%)	0 (0%)	12 (28%)	20 (47%)	28 (65%)	2 (5%)
Ad-Wide	23	16 (70%)	7 (30%)	0 (0%)	1 (4%)	10 (43%)	16 (70%)	0 (0%)
Deuce-Body	5	2 (40%)	0 (0%)	0 (0%)	1 (20%)	2 (40%)	0 (0%)	0 (0%)
Ad-Body	1	1 (100%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)
Deuce-T	24	17 (71%)	4 (17%)	0 (0%)	6 (25%)	12 (50%)	20 (83%)	1 (4%)
Ad-T	42	26 (62%)	3 (7%)	0 (0%)	5 (12%)	14 (33%)	21 (50%)	0 (0%)
