RF BREAKDOWN	1st: Pts	Won---%	Aces---%	Unr---%	FcdE---%	<=3W---%	2nd: Pts	Won---%	Aces---%	Unr---%	FcdE---%	<=3W---%
Deuce Court	48	34 (71%)	10 (21%)	0 (0%)	13 (27%)	26 (54%)	24	14 (58%)	0 (0%)	0 (0%)	6 (25%)	8 (33%)
Ad Court	37	31 (84%)	9 (24%)	0 (0%)	5 (14%)	20 (54%)	29	12 (41%)	1 (3%)	0 (0%)	1 (3%)	4 (14%)
Wide serves	44	33 (75%)	12 (27%)	0 (0%)	9 (20%)	24 (55%)	22	12 (55%)	1 (5%)	0 (0%)	4 (18%)	6 (27%)
Body serves	0	0 (-%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)	6	3 (50%)	0 (0%)	0 (0%)	1 (17%)	2 (33%)
T serves	41	32 (78%)	7 (17%)	0 (0%)	9 (22%)	22 (54%)	25	11 (44%)	0 (0%)	0 (0%)	2 (8%)	4 (16%)
Deuce-Wide	28	20 (71%)	6 (21%)	0 (0%)	8 (29%)	15 (54%)	15	9 (60%)	0 (0%)	0 (0%)	4 (27%)	5 (33%)
Ad-Wide	16	13 (81%)	6 (38%)	0 (0%)	1 (6%)	9 (56%)	7	3 (43%)	1 (14%)	0 (0%)	0 (0%)	1 (14%)
Deuce-Body	0	0 (-%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)	5	2 (40%)	0 (0%)	0 (0%)	1 (20%)	2 (40%)
Ad-Body	0	0 (-%)	0 (-%)	0 (-%)	0 (-%)	0 (-%)	1	1 (100%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)
Deuce-T	20	14 (70%)	4 (20%)	0 (0%)	5 (25%)	11 (55%)	4	3 (75%)	0 (0%)	0 (0%)	1 (25%)	1 (25%)
Ad-T	21	18 (86%)	3 (14%)	0 (0%)	4 (19%)	11 (52%)	21	8 (38%)	0 (0%)	0 (0%)	1 (5%)	3 (14%)
