RF SHOT DIRECTION	Total	PtEnding	Winner	InduceFcd	UnfErr	inPtsWon	inPtsLost
FH crosscourt	87	19 (22%)	10 (11%)	2 (2%)	7 (8%)	48 (55%)	39 (45%)
FH down middle	46	7 (15%)	1 (2%)	0 (0%)	6 (13%)	23 (50%)	23 (50%)
FH down the line	23	13 (57%)	5 (22%)	1 (4%)	7 (30%)	12 (52%)	11 (48%)
FH inside-out	42	26 (62%)	10 (24%)	7 (17%)	9 (21%)	28 (67%)	14 (33%)
FH inside-in	9	3 (33%)	1 (11%)	1 (11%)	1 (11%)	5 (56%)	4 (44%)
BH crosscourt	64	20 (31%)	6 (9%)	4 (6%)	10 (16%)	32 (50%)	32 (50%)
BH down middle	60	5 (8%)	1 (2%)	1 (2%)	3 (5%)	24 (40%)	36 (60%)
BH down the line	15	9 (60%)	4 (27%)	2 (13%)	3 (20%)	11 (73%)	4 (27%)
BH inside-out	11	3 (27%)	0 (0%)	1 (9%)	2 (18%)	5 (45%)	6 (55%)
Slice crosscourt	12	2 (17%)	0 (0%)	1 (8%)	1 (8%)	7 (58%)	5 (42%)
Slice down middle	5	0 (0%)	0 (0%)	0 (0%)	0 (0%)	2 (40%)	3 (60%)
Slice down the line	2	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	2 (100%)
